,name,job,tool,runtime,timesaved,date
0,Designer100,2,Padstack Generator,31,123540,Mon Apr 15 00:36:11 2019
1,Designer100,CYPRESS-1022920-TVII BH8M_V93K-BRD-39,Check Color Legend,11.txt,,Tue Nov  6 21:56:06 2018
2,Designer100,CYPRESS-1022920-TVII BH8M_V93K-BRD-39,Check Color Legend,16.txt,,Tue Nov  6 21:55:26 2018
3,Designer100,CYPRESS-1022920-TVII BH8M_V93K-BRD-39,Check Color Legend,402.txt,,Tue Nov  6 22:03:53 2018
4,Designer100,CYPRESS-1022920-TVII BH8M_V93K-BRD-39,Check Gerber Setting,n_a,111025,Tue Nov  6 22:10:25 2018
5,Designer100,HISILICON-1025750-HI1711V100PIBN-BRD-37-1,Check Un-Miter,207,200243,Mon Apr 15 08:06:10 2019
6,Designer100,HISILICON-1025750-HI1711V100PIBN-BRD-37-1,Check Un-Miter,44,214220,Mon Apr 15 09:43:04 2019
7,Designer100,HISILICON-1025750-HI1711V100PIBN-BRD-37-1,Check Un-Miter,768,205312,Mon Apr 15 09:06:00 2019
8,Designer100,Hisilicon-1026680-Hi1980V100_FTA-93K-BRD-24-D9,FAB Drawing,162,162020,Sat Apr 20 04:23:02 2019
9,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-06,Check 93K Pogo Placement,2,185213,Fri Mar 29 06:52:15 2019
10,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-06,Place Pogo (93K),6,184943,Fri Mar 29 06:49:49 2019
11,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-12,Create Xsection,12,115808,Mon Apr  1 23:58:20 2019
12,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-14,Import Subdrawing,23,172507,Tue Apr  2 05:25:30 2019
13,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-15,Split Shape,7,131556,Wed Apr  3 01:16:03 2019
14,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-16a,Import Subdrawing,29,193720,Wed Apr  3 07:37:49 2019
15,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-16a,Read DRC for Back Annotation,70,221249,Wed Apr  3 10:14:00 2019
16,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-17a,Split Shape,32,144731,Thu Apr  4 02:48:04 2019
17,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-17a,Split Shape,6,150827,Thu Apr  4 03:08:33 2019
18,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-17a,Split Shape,9,150743,Thu Apr  4 03:07:52 2019
19,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-21a,Import Subdrawing,7333,154941,Mon Apr 15 05:52:02 2019
20,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-23,Check Gerber Setting,2,124209,Mon Apr 22 00:42:11 2019
21,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-23,FAB Drawing,758,125007,Mon Apr 22 01:02:44 2019
22,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-23,Layer Panel,1690,165533,Wed Apr 17 05:23:43 2019
23,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-23a,Change Line,13,120656,Tue Apr 23 00:07:09 2019
24,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-23a,Change Line,15,142328,Tue Apr 23 02:23:43 2019
25,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-23a,Change Line,80,120328,Tue Apr 23 00:04:48 2019
26,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-23a,Check FAB Notes,6,131203,Mon Apr 22 01:12:09 2019
27,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-23a,FAB Drawing,367,130343,Mon Apr 22 01:09:50 2019
28,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-26,Import Subdrawing,1577,143459,Sat Apr 27 03:01:16 2019
29,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-34,Place Pogo (93K),48,131929,Mon May  6 01:20:16 2019
30,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-38,Check Design Important,183,120343,Tue May  7 00:06:46 2019
31,Designer100,NVIDIA-1026760-GA100_CHAR BOARD-BRD-41-c,Create Xsection,51,161616,Thu May  9 04:17:07 2019
32,Designer100,NVIDIA-20302-GV100_UDI_IO_CHAR BOARD-BRD-57,Layer Panel,59,154541,Thu Apr 11 03:46:40 2019
33,Designer100,NXP-1019741-RL11VMSN7BA-RATTLER_UF_FTX4-BRD-45-6-salman,Check FAB Notes,n_a,163235,Sat Nov 10 03:32:35 2018
34,Designer100,Open Silicon-1026640-Flon-BRD-20,Check Un-Miter,50,102441,Thu Mar 21 22:25:32 2019
35,Designer100,Open Silicon-1026640-Flon-BRD-20,Check Un-Miter,82,102833,Thu Mar 21 22:29:55 2019
36,Designer100,Open Silicon-1026640-Flon-BRD-22,Make Shape Under Antipad,215,194900,Mon Mar 25 07:52:36 2019
37,Designer100,Open Silicon-1026640-Flon-BRD-22,Make Shape Under Antipad,234,193233,Mon Mar 25 07:36:28 2019
38,Designer100,Open Silicon-1026640-Flon-BRD-22,Make Shape Under Antipad,591,193719,Mon Mar 25 07:47:11 2019
39,Designer100,Open Silicon-1026640-Flon-BRD-25-a,FAB Drawing,354,123429,Tue Mar 26 00:40:24 2019
40,Designer100,Open Silicon-1026640-Flon-BRD-29,Change Line,21,100112,Tue Mar 26 22:01:33 2019
41,Designer100,Open Silicon-1026640-Flon-BRD-29,Make Shape Under Antipad,37,100237,Tue Mar 26 22:03:14 2019
42,Designer100,Open Silicon-1026640-Flon-BRD-31a,PS9G Swell Update,11,135355,Wed Mar 27 01:53:55 2019
43,Designer100,Open Silicon-1026640-Flon-BRD-31a,PS9G Swell Update,11,135442,Wed Mar 27 01:54:42 2019
44,Designer100,Open Silicon-1026640-Flon-BRD-34,Design View,152,184142,Wed Mar 27 06:44:14 2019
45,Designer100,Open Silicon-1026640-Flon-BRD-35,Design View,41,185922,Wed Mar 27 07:00:03 2019
46,Designer100,Open Silicon-1026640-Flon-BRD-40,Change Line,11,205103,Wed Mar 27 08:51:14 2019
47,Designer100,Open Silicon-1026640-Flon-BRD-40,Change Line,24,203900,Wed Mar 27 08:39:24 2019
48,Designer100,Open Silicon-1026640-Flon-BRD-43,Design View,43,113815,Wed Mar 27 23:38:58 2019
